episode,total_steps,avg_reward,avg_throughput,avg_non_blocked,avg_load_balance,value_loss,action_loss,entropy_loss,lr
32,192000,-0.24093515634740484,51288321.828170225,0.933979797979798,-0.2411336906006586,3.3387366765340167,-5.0547330428950466e-05,0.05701633302370707,0
33,198000,-0.23797121247076997,51402849.641984574,0.9385993265993265,-0.23828255364367024,3.1905558725992837,-3.745994456676271e-05,0.057018572568893436,0
34,204000,-0.2391055084262517,51209321.94913896,0.9339023569023568,-0.2393426805005277,3.2459486846923826,-4.093916080061414e-05,0.057023279190063475,0
35,210000,-0.23761807034325602,51381323.65889802,0.9363602693602693,-0.23791122661181388,3.103714172363281,-3.2063299556663574e-05,0.05703333799044291,0
36,216000,-0.23920141851289278,51578681.58671036,0.939861952861953,-0.23934463106908377,3.0960170720418296,-3.708624871281548e-05,0.05703887351353963,0
37,222000,-0.23783978634160918,51445474.01076298,0.9367373737373738,-0.2378544824948978,3.041275006612142,-1.8845767585996026e-05,0.05702241977055868,0
38,228000,-0.2378938178634449,51376600.63970164,0.9367104377104376,-0.23803824690033026,2.9383771286010743,-3.6027654055070946e-05,0.05701768692334493,0
39,234000,-0.2369382854774777,51459406.85768482,0.939013468013468,-0.23710522278068116,2.8712647120157877,-3.6105063689016484e-05,0.05702717097600301,0
40,240000,-0.2374029711001249,51337569.82172828,0.9354612794612795,-0.23742089751092435,2.8509302673339842,-2.606016305965871e-05,0.05705352290471395,0
41,246000,-0.23680020760426457,51362936.85848609,0.9363400673400673,-0.23691957334047103,2.7745912170410154,-2.2072603542748464e-05,0.05706077440579732,0
42,252000,-0.23633589130956664,51457120.30225869,0.9410303030303029,-0.236466954529752,2.6743130696614585,-2.3508557994773582e-05,0.05706201593081157,0
